Simulación 1,Simulación 2
1214.8086165992872,1086.243099174037
1421.4964591039547,1263.279820488865
1476.3196062312318,1499.2654373196633
1851.243913543349,1612.9879229404337
1924.7331708680565,1860.251695984387
2117.8144071855922,2049.560284278637
2627.345426296509,2248.897963893057
3108.218581800819,2597.7774781296357
3533.3446799675703,2716.538200678936
3869.582174880877,3194.846953457819
