Date,Close,High,Low,Open,Volume
2015-12-23,2064.29,2064.73,2042.2,2042.2,3484090000
2015-12-24,2060.99,2067.36,2058.73,2063.52,1411860000
2015-12-28,2056.5,2057.77,2044.2,2057.77,2492510000
2015-12-29,2078.36,2081.56,2060.54,2060.54,2542000000
2015-12-30,2063.36,2077.34,2061.97,2077.34,2367430000
2015-12-31,2043.94,2062.54,2043.62,2060.59,2655330000
2016-01-04,2012.66,2038.2,1989.68,2038.2,4304880000
2016-01-05,2016.71,2021.94,2004.17,2013.78,3706620000
2016-01-06,1990.26,2011.71,1979.05,2011.71,4336660000
2016-01-07,1943.09,1985.32,1938.83,1985.32,5076590000
2016-01-08,1922.03,1960.4,1918.46,1945.97,4664940000
2016-01-11,1923.67,1935.65,1901.1,1926.12,4607290000
2016-01-12,1938.68,1947.38,1914.35,1927.83,4887260000
2016-01-13,1890.28,1950.33,1886.41,1940.34,5087030000
2016-01-14,1921.84,1934.47,1878.93,1891.68,5241110000
2016-01-15,1880.33,1916.68,1857.83,1916.68,5468460000
2016-01-19,1881.33,1901.44,1864.6,1888.66,4928350000
2016-01-20,1859.33,1876.18,1812.29,1876.18,6416070000
2016-01-21,1868.99,1889.85,1848.98,1861.46,5078810000
2016-01-22,1906.9,1908.85,1877.4,1877.4,4901760000
2016-01-25,1877.08,1906.28,1875.97,1906.28,4401380000
2016-01-26,1903.63,1906.73,1878.79,1878.79,4357940000
2016-01-27,1882.95,1916.99,1872.7,1902.52,4754040000
2016-01-28,1893.36,1902.96,1873.65,1885.22,4693010000
2016-01-29,1940.24,1940.24,1894.0,1894.0,5497570000
2016-02-01,1939.38,1947.2,1920.3,1936.94,4322530000
2016-02-02,1903.03,1935.26,1897.29,1935.26,4463190000
2016-02-03,1912.53,1918.01,1872.23,1907.07,5172950000
2016-02-04,1915.45,1927.35,1900.52,1911.67,5193320000
2016-02-05,1880.05,1913.07,1872.65,1913.07,4929940000
2016-02-08,1853.44,1873.25,1828.46,1873.25,5636460000
2016-02-09,1852.21,1868.25,1834.94,1848.46,5183220000
2016-02-10,1851.86,1881.6,1850.32,1857.1,4471170000
2016-02-11,1829.08,1847.0,1810.1,1847.0,5500800000
2016-02-12,1864.78,1864.78,1833.4,1833.4,4696920000
2016-02-16,1895.58,1895.77,1871.44,1871.44,4570670000
2016-02-17,1926.82,1930.68,1898.8,1898.8,5011540000
2016-02-18,1917.83,1930.0,1915.09,1927.57,4436490000
2016-02-19,1917.78,1918.78,1902.17,1916.74,4142850000
2016-02-22,1945.5,1946.7,1924.44,1924.44,4054710000
2016-02-23,1921.27,1942.38,1919.44,1942.38,3890650000
2016-02-24,1929.8,1932.08,1891.0,1917.56,4317250000
2016-02-25,1951.7,1951.83,1925.41,1931.87,4118210000
2016-02-26,1948.05,1962.96,1945.78,1954.95,4348510000
2016-02-29,1932.23,1958.27,1931.81,1947.13,4588180000
2016-03-01,1978.35,1978.35,1937.09,1937.09,4819750000
2016-03-02,1986.45,1986.51,1968.8,1976.6,4666610000
2016-03-03,1993.4,1993.69,1977.37,1985.6,5081700000
2016-03-04,1999.99,2009.13,1986.77,1994.01,6049930000
2016-03-07,2001.76,2006.12,1989.38,1996.11,4968180000
2016-03-08,1979.26,1996.88,1977.43,1996.88,4641650000
2016-03-09,1989.26,1992.69,1979.84,1981.44,4038120000
2016-03-10,1989.57,2005.08,1969.25,1990.97,4376790000
2016-03-11,2022.19,2022.37,1994.71,1994.71,4078620000
2016-03-14,2019.64,2024.57,2012.05,2019.27,3487850000
2016-03-15,2015.93,2015.94,2005.23,2015.27,3560280000
2016-03-16,2027.22,2032.02,2010.04,2014.24,4057020000
2016-03-17,2040.59,2046.24,2022.16,2026.9,4530480000
2016-03-18,2049.58,2052.36,2041.16,2041.16,6503140000
2016-03-21,2051.6,2053.91,2043.14,2047.88,3376600000
2016-03-22,2049.8,2056.6,2040.57,2048.64,3418460000
2016-03-23,2036.71,2048.55,2034.86,2048.55,3639510000
2016-03-24,2035.94,2036.04,2022.49,2032.48,3407720000
2016-03-28,2037.05,2042.67,2031.96,2037.89,2809090000
2016-03-29,2055.01,2055.91,2028.31,2035.75,3822330000
2016-03-30,2063.95,2072.21,2058.27,2058.27,3590310000
2016-03-31,2059.74,2067.92,2057.46,2063.77,3715280000
2016-04-01,2072.78,2075.07,2043.98,2056.62,3749990000
2016-04-04,2066.13,2074.02,2062.57,2073.19,3485710000
2016-04-05,2045.17,2062.5,2042.56,2062.5,4154920000
2016-04-06,2066.66,2067.33,2043.09,2045.56,3750800000
2016-04-07,2041.91,2063.01,2033.8,2063.01,3801250000
2016-04-08,2047.6,2060.63,2041.69,2045.54,3359530000
2016-04-11,2041.99,2062.93,2041.88,2050.23,3567840000
2016-04-12,2061.72,2065.05,2039.74,2043.72,4239740000
2016-04-13,2082.42,2083.18,2065.92,2065.92,4191830000
2016-04-14,2082.78,2087.84,2078.13,2082.89,3765870000
2016-04-15,2080.73,2083.22,2076.31,2083.1,3701450000
2016-04-18,2094.34,2094.66,2073.65,2078.83,3316880000
2016-04-19,2100.8,2104.05,2091.68,2096.05,3896830000
2016-04-20,2102.4,2111.05,2096.32,2101.52,4184880000
2016-04-21,2091.48,2103.78,2088.52,2102.09,4175290000
2016-04-22,2091.58,2094.32,2081.2,2091.49,3790580000
2016-04-25,2087.79,2089.37,2077.52,2089.37,3319740000
2016-04-26,2091.7,2096.87,2085.8,2089.84,3557190000
2016-04-27,2095.15,2099.89,2082.31,2092.33,4100110000
2016-04-28,2075.81,2099.3,2071.62,2090.93,4309840000
2016-04-29,2065.3,2073.85,2052.28,2071.82,4704720000
2016-05-02,2081.43,2083.42,2066.11,2067.17,3841110000
2016-05-03,2063.37,2077.18,2054.89,2077.18,4173390000
2016-05-04,2051.12,2060.3,2045.55,2060.3,4058560000
2016-05-05,2050.63,2060.23,2045.77,2052.95,4008530000
2016-05-06,2057.14,2057.72,2039.45,2047.77,3796350000
2016-05-09,2058.69,2064.15,2054.31,2057.55,3788620000
2016-05-10,2084.39,2084.87,2062.63,2062.63,3600200000
2016-05-11,2064.46,2083.29,2064.46,2083.29,3821980000
2016-05-12,2064.11,2073.99,2053.13,2067.17,3782390000
2016-05-13,2046.61,2066.79,2043.13,2062.5,3579880000
2016-05-16,2066.66,2071.88,2046.53,2046.53,3501360000
2016-05-17,2047.21,2065.69,2040.82,2065.04,4108960000
2016-05-18,2047.63,2060.61,2034.49,2044.38,4101320000
2016-05-19,2040.04,2044.21,2025.91,2044.21,3846770000
2016-05-20,2052.32,2058.35,2041.88,2041.88,3507650000
2016-05-23,2048.04,2055.58,2047.26,2052.23,3055480000
2016-05-24,2076.06,2079.67,2052.65,2052.65,3627340000
2016-05-25,2090.54,2094.73,2078.93,2078.93,3859160000
2016-05-26,2090.1,2094.3,2087.08,2091.44,3230990000
2016-05-27,2099.06,2099.06,2090.06,2090.06,3079150000
2016-05-31,2096.95,2103.48,2088.66,2100.13,4514410000
2016-06-01,2099.33,2100.97,2085.1,2093.94,3525170000
2016-06-02,2105.26,2105.26,2088.59,2097.71,3632720000
2016-06-03,2099.13,2104.07,2085.36,2104.07,3627780000
2016-06-06,2109.41,2113.36,2100.83,2100.83,3442020000
2016-06-07,2112.13,2119.22,2110.18,2110.18,3534730000
2016-06-08,2119.12,2120.55,2112.71,2112.71,3562060000
2016-06-09,2115.48,2117.64,2107.73,2115.65,3290320000
2016-06-10,2096.07,2109.57,2089.96,2109.57,3515010000
2016-06-13,2079.06,2098.12,2078.46,2091.75,3392030000
2016-06-14,2075.32,2081.3,2064.1,2076.65,3759770000
2016-06-15,2071.5,2085.65,2069.8,2077.6,3544720000
2016-06-16,2077.99,2079.62,2050.37,2066.36,3628280000
2016-06-17,2071.22,2078.2,2062.84,2078.2,4952630000
2016-06-20,2083.25,2100.66,2075.58,2075.58,3467440000
2016-06-21,2088.9,2093.66,2083.02,2085.19,3232880000
2016-06-22,2085.45,2099.71,2084.36,2089.75,3168160000
2016-06-23,2113.32,2113.32,2092.8,2092.8,3297940000
2016-06-24,2037.41,2103.81,2032.57,2103.81,7597450000
2016-06-27,2000.54,2031.45,1991.68,2031.45,5431220000
2016-06-28,2036.09,2036.09,2006.67,2006.67,4385810000
2016-06-29,2070.77,2073.13,2042.69,2042.69,4241740000
2016-06-30,2098.86,2098.94,2070.0,2073.17,4622820000
2016-07-01,2102.95,2108.71,2097.9,2099.34,3458890000
2016-07-05,2088.55,2095.05,2080.86,2095.05,3658380000
2016-07-06,2099.73,2100.72,2074.02,2084.43,3909380000
2016-07-07,2097.9,2109.08,2089.39,2100.42,3604550000
2016-07-08,2129.9,2131.71,2106.97,2106.97,3607500000
2016-07-11,2137.16,2143.16,2131.72,2131.72,3253340000
2016-07-12,2152.14,2155.4,2139.5,2139.5,4097820000
2016-07-13,2152.43,2156.45,2146.21,2153.81,3502320000
2016-07-14,2163.75,2168.99,2157.88,2157.88,3465610000
2016-07-15,2161.74,2169.05,2155.79,2165.13,3122600000
2016-07-18,2166.89,2168.35,2159.63,2162.04,3009310000
2016-07-19,2163.78,2164.63,2159.01,2163.79,2968340000
2016-07-20,2173.02,2175.63,2164.89,2166.1,3211860000
2016-07-21,2165.17,2174.56,2159.75,2172.91,3438900000
2016-07-22,2175.03,2175.11,2163.24,2166.47,3023280000
2016-07-25,2168.48,2173.71,2161.95,2173.71,3057240000
2016-07-26,2169.18,2173.54,2160.18,2168.97,3442350000
2016-07-27,2166.58,2174.98,2159.07,2169.81,3995500000
2016-07-28,2170.06,2172.85,2159.74,2166.05,3664240000
2016-07-29,2173.6,2177.09,2163.49,2168.83,4038840000
2016-08-01,2170.84,2178.29,2166.21,2173.15,3505990000
2016-08-02,2157.03,2170.2,2147.58,2169.94,3848750000
2016-08-03,2163.79,2163.79,2152.56,2156.81,3786530000
2016-08-04,2164.25,2168.19,2159.07,2163.51,3709200000
2016-08-05,2182.87,2182.87,2168.79,2168.79,3663070000
2016-08-08,2180.89,2185.44,2177.85,2183.76,3327550000
2016-08-09,2181.74,2187.66,2178.61,2182.24,3334300000
2016-08-10,2175.49,2183.41,2172.0,2182.81,3254950000
2016-08-11,2185.79,2188.45,2177.97,2177.97,3423160000
2016-08-12,2184.05,2186.28,2179.42,2183.74,3000660000
2016-08-15,2190.15,2193.81,2186.08,2186.08,3078530000
2016-08-16,2178.15,2186.24,2178.14,2186.24,3196400000
2016-08-17,2182.22,2183.08,2168.5,2177.84,3388910000
2016-08-18,2187.02,2187.03,2180.46,2181.9,3300570000
2016-08-19,2183.87,2185.0,2175.13,2184.24,3084800000
2016-08-22,2182.64,2185.15,2175.96,2181.58,2777550000
2016-08-23,2186.9,2193.42,2186.8,2187.81,3041490000
2016-08-24,2175.44,2186.66,2171.25,2185.09,3148280000
2016-08-25,2172.47,2179.0,2169.74,2173.29,2969310000
2016-08-26,2169.04,2187.94,2160.39,2175.1,3342340000
2016-08-29,2180.38,2183.48,2170.19,2170.19,2654780000
2016-08-30,2176.12,2182.27,2170.41,2179.45,3006800000
2016-08-31,2170.95,2173.79,2161.35,2173.56,3766390000
2016-09-01,2170.86,2173.56,2157.09,2171.33,3392120000
2016-09-02,2179.98,2184.87,2173.59,2177.49,3091120000
2016-09-06,2186.48,2186.57,2175.1,2181.61,3447650000
2016-09-07,2186.16,2187.87,2179.07,2185.17,3319420000
