Date,Close,High,Low,Open,Volume
2017-12-26,2680.5,2682.74,2677.96,2679.09,1970660000
2017-12-27,2682.62,2685.64,2678.91,2682.1,2202900000
2017-12-28,2687.54,2687.66,2682.69,2686.1,2174890000
2017-12-29,2673.61,2692.12,2673.61,2689.15,2447760000
2018-01-02,2695.81,2695.89,2682.36,2683.73,3397430000
2018-01-03,2713.06,2714.37,2697.77,2697.85,3544030000
2018-01-04,2723.99,2729.29,2719.07,2719.31,3697340000
2018-01-05,2743.15,2743.45,2727.92,2731.33,3239280000
2018-01-08,2747.71,2748.51,2737.6,2742.67,3246160000
2018-01-09,2751.29,2759.14,2747.86,2751.15,3467460000
2018-01-10,2748.23,2750.8,2736.06,2745.55,3579900000
2018-01-11,2767.56,2767.56,2752.78,2752.97,3645690000
2018-01-12,2786.24,2787.85,2769.64,2770.18,3587220000
2018-01-16,2776.42,2807.54,2768.64,2798.96,4362880000
2018-01-17,2802.56,2807.04,2778.38,2784.99,3790340000
2018-01-18,2798.03,2805.83,2792.56,2802.4,3703300000
2018-01-19,2810.3,2810.33,2798.08,2802.6,3724230000
2018-01-22,2832.97,2833.03,2808.12,2809.16,3489480000
2018-01-23,2839.13,2842.24,2830.59,2835.05,3541140000
2018-01-24,2837.54,2852.97,2824.81,2845.42,4079270000
2018-01-25,2839.25,2848.56,2830.94,2846.24,3873100000
2018-01-26,2872.87,2872.87,2846.18,2847.48,3474680000
2018-01-29,2853.53,2870.62,2851.48,2867.23,3587420000
2018-01-30,2822.43,2837.75,2818.27,2832.74,4012070000
2018-01-31,2823.81,2839.26,2813.04,2832.41,4276270000
2018-02-01,2821.98,2835.96,2812.7,2816.45,3977380000
2018-02-02,2762.13,2808.92,2759.97,2808.92,4340220000
2018-02-05,2648.94,2763.39,2638.17,2741.06,5310840000
2018-02-06,2695.14,2701.04,2593.07,2614.78,5917350000
2018-02-07,2681.66,2727.67,2681.33,2690.95,4646300000
2018-02-08,2581.0,2685.27,2580.56,2685.01,5333840000
2018-02-09,2619.55,2638.67,2532.69,2601.78,5690110000
2018-02-12,2656.0,2672.61,2622.45,2636.75,4069220000
2018-02-13,2662.94,2668.84,2637.08,2646.27,3503540000
2018-02-14,2698.63,2702.1,2648.87,2651.21,4011940000
2018-02-15,2731.2,2731.51,2689.82,2713.46,3696140000
